episode,env_id,crash,success,timeout,success_time
229,24,True,False,False,0
230,34,False,True,False,70
231,25,True,False,False,0
232,22,True,False,False,68
233,46,True,False,False,0
234,11,True,False,False,0
235,41,True,False,False,0
235,61,True,False,False,0
236,4,False,True,False,246
237,20,True,False,False,72
238,35,True,False,False,245
239,60,True,False,False,0
240,49,True,False,False,72
241,25,True,False,False,0
242,42,False,True,False,154
243,24,True,False,False,0
244,46,True,False,False,0
245,63,True,False,False,102
246,31,True,False,False,156
247,60,True,False,False,0
248,28,True,False,False,72
249,4,True,False,False,0
249,35,True,False,False,0
250,50,True,False,False,0
251,46,True,False,False,0
252,32,False,True,False,84
253,52,False,True,False,139
254,43,True,False,False,72
255,11,True,False,False,72
256,41,True,False,False,0
257,43,True,False,False,0
258,21,True,False,False,84
259,54,False,True,False,97
260,61,True,False,False,0
261,19,True,False,False,74
262,20,True,False,False,0
263,59,False,True,False,181
264,33,True,False,False,162
265,4,True,False,False,0
266,46,True,False,False,0
267,11,True,False,False,0
268,1,False,True,False,186
268,7,False,True,False,74
268,13,False,True,False,86
268,17,False,True,False,90
268,29,False,True,False,99
268,36,False,True,False,355
268,39,False,True,False,66
268,47,False,True,False,78
268,56,False,True,False,106
269,59,True,False,False,0
270,57,False,True,False,79
271,49,True,False,False,87
272,45,True,False,False,131
273,16,False,True,False,75
274,32,True,False,False,73
275,14,False,True,False,75
276,8,False,True,False,61
276,29,True,False,False,0
276,57,True,False,False,0
277,1,True,False,False,0
277,54,True,False,False,0
278,0,False,True,False,125
278,14,True,False,False,0
279,15,False,False,True,0
279,47,True,False,False,0
280,59,True,False,False,0
281,12,False,True,False,78
281,48,False,True,False,74
282,51,False,True,False,205
283,6,False,True,False,141
284,38,False,True,False,203
285,15,True,False,False,0
286,27,False,True,False,149
287,61,True,False,False,0
288,43,True,False,False,0
288,59,True,False,False,0
289,31,True,False,False,69
290,7,True,False,False,0
291,4,True,False,False,64
292,46,True,False,False,0
293,48,True,False,False,0
294,11,True,False,False,0
295,3,False,True,False,141
295,37,True,False,False,240
296,14,True,False,False,0
297,58,False,True,False,67
298,4,True,False,False,0
299,38,True,False,False,0
300,55,False,True,False,82
301,47,True,False,False,0
302,2,False,True,False,85
303,11,True,False,False,0
304,43,True,False,False,0
305,14,True,False,False,0
306,3,True,False,False,0
306,6,True,False,False,0
306,46,True,False,False,0
307,40,False,True,False,70
308,47,True,False,False,0
309,56,True,False,False,0
310,0,True,False,False,85
311,43,True,False,False,0
312,38,True,False,False,0
313,14,True,False,False,0
314,40,True,False,False,0
315,16,True,False,False,0
316,62,False,True,False,70
317,44,False,True,False,73
318,53,False,True,False,220
319,48,True,False,False,0
320,11,True,False,False,0
321,39,True,False,False,88
322,17,True,False,False,0
323,18,False,True,False,85
324,40,True,False,False,0
325,11,True,False,False,0
326,32,True,False,False,76
327,48,True,False,False,0
327,53,True,False,False,0
328,37,True,False,False,0
329,43,True,False,False,0
329,51,True,False,False,0
330,30,False,True,False,58
331,3,True,False,False,0
332,5,False,True,False,196
333,47,True,False,False,0
334,9,False,True,False,63
335,11,True,False,False,0
336,23,False,True,False,0
337,26,False,True,False,67
338,11,True,False,False,0
339,31,True,False,False,159
340,4,True,False,False,0
341,26,True,False,False,0
342,10,False,True,False,74
343,41,True,False,False,321
344,34,False,True,False,0
345,44,True,False,False,0
346,28,True,False,False,0
347,22,False,True,False,113
348,26,True,False,False,0
349,26,True,False,False,0
350,22,True,False,False,0
351,23,True,False,False,0
352,37,True,False,False,86
353,0,True,False,False,0
354,11,True,False,False,0
355,25,False,True,False,68
356,42,False,True,False,82
357,14,True,False,False,0
357,24,False,True,False,76
358,31,True,False,False,0
359,43,True,False,False,70
360,37,True,False,False,0
361,57,True,False,False,0
362,63,False,True,False,81
363,23,True,False,False,0
364,46,True,False,False,0
365,25,True,False,False,0
366,46,True,False,False,0
366,60,False,True,False,142
367,0,True,False,False,0
368,35,False,True,False,150
369,6,True,False,False,0
370,24,True,False,False,0
370,50,False,True,False,73
371,10,True,False,False,0
372,52,False,True,False,133
373,25,True,False,False,0
374,11,True,False,False,0
374,40,True,False,False,81
375,10,True,False,False,0
376,52,True,False,False,0
377,42,True,False,False,70
378,21,False,True,False,93
379,25,True,False,False,0
380,11,True,False,False,0
381,19,False,True,False,79
382,20,False,True,False,83
383,11,True,False,False,0
384,33,False,True,False,77
385,21,True,False,False,0
386,25,True,False,False,0
387,13,False,True,False,71
387,36,False,True,False,82
387,63,True,False,False,79
388,24,True,False,False,0
389,42,True,False,False,0
390,49,False,True,False,94
391,45,False,True,False,75
392,11,True,False,False,0
393,8,False,True,False,67
393,29,False,True,False,72
394,6,True,False,False,79
394,52,True,False,False,0
395,1,False,True,False,86
395,54,False,True,False,77
396,21,True,False,False,0
397,48,True,False,False,68
398,35,True,False,False,0
399,23,True,False,False,0
400,12,False,True,False,96
401,40,True,False,False,0
402,63,True,False,False,0
403,34,True,False,False,75
404,15,False,False,True,0
405,27,False,True,False,234
406,0,True,False,False,137
407,61,False,True,False,71
408,59,False,True,False,0
409,12,True,False,False,0
410,54,True,False,False,0
411,0,True,False,False,0
411,48,True,False,False,0
412,35,True,False,False,0
413,7,False,True,False,83
414,63,True,False,False,0
415,34,True,False,False,0
416,6,True,False,False,0
417,33,True,False,False,0
418,16,True,False,False,80
419,58,False,True,False,74
420,55,False,True,False,87
421,2,False,True,False,80
422,63,True,False,False,0
423,36,True,False,False,0
424,25,True,False,False,0
425,56,False,True,False,70
426,12,True,False,False,0
427,11,True,False,False,0
428,38,False,True,False,67
429,45,True,False,False,68
430,62,False,True,False,74
431,23,True,False,False,0
432,39,False,True,False,84
433,17,False,True,False,79
434,18,False,True,False,83
435,56,True,False,False,0
436,32,False,True,False,79
436,40,True,False,False,71
437,53,False,True,False,68
438,51,False,True,False,80
439,30,False,True,False,75
440,34,True,False,False,76
441,3,False,True,False,260
442,5,False,True,False,74
442,48,True,False,False,67
443,11,True,False,False,0
444,54,True,False,False,84
445,25,True,False,False,0
445,62,True,False,False,0
446,3,True,False,False,0
447,47,False,True,False,86
448,53,True,False,False,0
449,9,False,True,False,60
449,11,True,False,False,0
450,54,True,False,False,0
450,63,True,False,False,0
451,39,True,False,False,0
452,17,True,False,False,0
453,45,True,False,False,0
454,19,True,False,False,0
455,1,True,False,False,119
455,62,True,False,False,0
456,18,True,False,False,0
457,11,True,False,False,0
458,4,False,True,False,121
459,12,True,False,False,78
460,23,True,False,False,0
461,41,False,True,False,64
462,44,False,True,False,0
463,55,True,False,False,95
464,18,True,False,False,0
465,28,False,True,False,90
466,31,True,False,False,263
467,54,True,False,False,0
468,40,True,False,False,75
469,26,False,True,False,174
470,22,False,True,False,77
471,47,True,False,False,0
471,51,True,False,False,0
472,5,True,False,False,0
472,41,True,False,False,0
473,3,True,False,False,0
474,51,True,False,False,0
475,14,False,True,False,75
476,5,True,False,False,0
477,43,False,True,False,0
478,4,True,False,False,0
478,37,False,True,False,158
479,1,True,False,False,0
480,41,True,False,False,0
480,57,False,True,False,70
481,11,True,False,False,66
482,14,True,False,False,0
483,19,True,False,False,0
484,39,True,False,False,89
485,23,True,False,False,68
486,57,True,False,False,0
487,46,False,True,False,88
487,60,False,True,False,134
488,14,True,False,False,0
489,46,True,False,False,0
490,50,False,True,False,0
491,4,True,False,False,0
492,51,True,False,False,0
493,31,True,False,False,0
494,57,True,False,False,0
495,25,True,False,False,163
496,10,False,True,False,78
497,37,True,False,False,0
498,36,True,False,False,83
499,10,True,False,False,0
500,20,False,True,False,178
501,27,True,False,False,74
502,39,True,False,False,0
503,1,True,False,False,0
504,43,True,False,False,0
505,13,False,True,False,70
506,24,False,True,False,0
507,42,False,True,False,86
508,49,False,True,False,69
509,17,True,False,False,0
510,60,True,False,False,0
511,8,False,True,False,131
511,29,False,True,False,68
512,52,False,True,False,176
513,10,True,False,False,0
514,24,True,False,False,0
515,21,False,True,False,105
516,57,True,False,False,0
517,42,True,False,False,0
518,10,True,False,False,0
519,21,True,False,False,0
520,57,True,False,False,0
521,8,True,False,False,0
522,31,True,False,False,0
523,46,True,False,False,70
524,15,False,True,False,463
525,27,True,False,False,74
526,29,True,False,False,0
526,61,False,True,False,62
527,59,False,True,False,0
528,0,False,True,False,71
528,60,True,False,False,0
529,35,False,True,False,86
530,7,False,True,False,181
531,37,True,False,False,82
531,57,True,False,False,0
532,29,True,False,False,0
533,7,True,False,False,0
533,61,True,False,False,0
534,59,True,False,False,0
535,6,False,True,False,76
536,33,False,True,False,86
536,60,True,False,False,0
537,16,False,True,False,65
538,58,False,True,False,90
539,39,True,False,False,0
540,2,False,True,False,133
541,13,True,False,False,0
541,42,True,False,False,0
542,49,True,False,False,77
543,8,True,False,False,70
544,33,True,False,False,0
545,38,False,True,False,200
546,16,True,False,False,0
546,29,True,False,False,0
547,8,True,False,False,0
548,7,True,False,False,0
549,31,True,False,False,0
550,2,True,False,False,0
551,27,True,False,False,59
551,49,True,False,False,0
552,8,True,False,False,0
552,56,False,True,False,88
553,32,False,True,False,90
554,15,True,False,False,0
555,30,False,True,False,0
556,34,False,True,False,144
557,32,True,False,False,0
558,52,True,False,False,70
559,48,False,True,False,452
560,35,True,False,False,88
561,56,True,False,False,0
562,43,True,False,False,0
563,33,True,False,False,0
564,53,False,True,False,271
565,6,True,False,False,0
565,49,True,False,False,0
566,9,False,True,False,84
567,48,True,False,False,0
568,32,True,False,False,0
568,61,True,False,False,93
569,63,False,True,False,179
570,45,False,True,False,76
571,11,True,False,False,290
572,62,False,True,False,69
573,35,True,False,False,0
574,53,True,False,False,0
575,12,False,True,False,123
576,44,False,True,False,72
577,55,False,True,False,66
578,18,False,True,False,68
579,28,False,True,False,0
580,49,True,False,False,0
581,31,True,False,False,74
582,62,True,False,False,0
583,56,True,False,False,0
584,54,False,True,False,62
585,40,False,True,False,75
586,32,True,False,False,0
586,58,True,False,False,0
587,26,False,True,False,78
588,22,False,True,False,79
589,47,False,True,False,245
590,44,True,False,False,0
591,3,False,True,False,0
592,43,True,False,False,0
593,55,True,False,False,0
594,5,False,True,False,96
595,9,True,False,False,73
596,62,True,False,False,0
597,41,False,True,False,79
598,19,False,True,False,0
599,23,False,True,False,87
599,54,True,False,False,0
600,10,True,False,False,167
601,14,False,True,False,69
602,32,True,False,False,58
603,50,False,True,False,67
604,55,True,False,False,0
605,4,False,True,False,129
606,51,False,True,False,167
607,32,True,False,False,0
608,25,False,True,False,0
609,19,True,False,False,0
610,32,True,False,False,0
611,14,True,False,False,0
612,0,True,False,False,0
613,36,False,True,False,79
614,51,True,False,False,0
615,20,False,True,False,71
616,22,True,False,False,101
616,58,True,False,False,78
617,1,False,True,False,0
618,47,True,False,False,0
619,44,True,False,False,90
620,0,True,False,False,0
621,17,False,True,False,79
622,37,True,False,False,67
623,1,True,False,False,0
624,11,True,False,False,196
625,19,True,False,False,70
626,24,False,True,False,71
627,50,True,False,False,65
628,1,True,False,False,0
629,25,True,False,False,0
630,21,False,True,False,0
631,46,False,True,False,81
632,24,True,False,False,0
633,14,True,False,False,74
634,57,False,True,False,76
635,14,True,False,False,0
636,50,True,False,False,0
637,59,False,True,False,0
638,60,False,True,False,165
639,39,False,True,False,75
640,14,True,False,False,0
641,13,False,True,False,71
641,42,False,True,False,248
642,41,True,False,False,99
643,25,True,False,False,66
644,59,True,False,False,0
645,42,True,False,False,0
646,38,False,True,False,95
647,22,True,False,False,0
647,57,True,False,False,0
648,16,False,True,False,0
648,29,False,True,False,78
649,19,True,False,False,0
650,41,True,False,False,0
651,7,False,True,False,73
652,16,True,False,False,0
653,32,True,False,False,0
654,2,False,True,False,82
655,57,True,False,False,0
656,27,False,True,False,74
657,25,True,False,False,0
658,59,True,False,False,0
659,8,False,True,False,136
660,38,True,False,False,0
661,1,True,False,False,73
662,15,False,True,False,92
663,32,True,False,False,0
664,30,False,True,False,71
665,34,False,True,False,74
666,19,True,False,False,0
667,52,False,True,False,76
668,38,True,False,False,0
669,8,True,False,False,0
670,33,False,True,False,96
671,6,False,True,False,159
672,48,False,True,False,91
673,14,True,False,False,0
674,27,True,False,False,0
674,61,False,True,False,185
675,63,False,True,False,77
676,6,True,False,False,0
677,45,False,True,False,69
678,35,False,True,False,159
679,53,False,True,False,66
680,12,False,True,False,63
681,63,True,False,False,0
682,14,True,False,False,0
683,18,False,True,False,64
683,63,True,False,False,0
684,28,False,True,False,81
685,49,False,True,False,0
686,31,False,True,False,148
687,25,True,False,False,0
688,56,False,True,False,0
689,33,True,False,False,0
690,40,False,True,False,69
691,63,True,False,False,0
692,26,False,True,False,87
692,30,True,False,False,69
693,33,True,False,False,0
693,38,True,False,False,0
694,13,True,False,False,0
695,3,False,True,False,282
695,53,True,False,False,0
696,43,False,True,False,72
697,26,True,False,False,0
698,12,True,False,False,0
699,59,True,False,False,70
700,34,True,False,False,0
700,52,True,False,False,86
701,26,True,False,False,0
702,5,False,True,False,92
703,49,True,False,False,0
704,1,True,False,False,78
705,9,False,True,False,94
706,56,True,False,False,0
707,62,False,True,False,162
708,43,True,False,False,0
709,3,True,False,False,0
710,6,True,False,False,75
711,8,True,False,False,105
712,5,True,False,False,0
713,23,False,True,False,0
713,54,False,True,False,82
714,8,True,False,False,0
714,10,False,True,False,67
715,1,True,False,False,0
716,53,True,False,False,0
716,55,False,True,False,71
717,4,False,True,False,0
717,15,True,False,False,137
718,38,True,False,False,0
719,59,True,False,False,0
720,10,True,False,False,0
721,7,True,False,False,90
722,36,False,True,False,77
723,34,True,False,False,0
724,15,True,False,False,0
725,63,True,False,False,0
726,33,True,False,False,0
726,51,False,True,False,69
727,20,False,True,False,112
727,62,True,False,False,0
728,7,True,False,False,0
729,58,False,True,False,64
730,12,True,False,False,74
731,36,True,False,False,0
732,54,True,False,False,0
733,31,True,False,False,80
734,47,False,True,False,195
735,26,True,False,False,76
736,44,False,True,False,216
737,56,True,False,False,0
738,0,False,True,False,70
738,1,True,False,False,72
739,15,True,False,False,0
740,53,True,False,False,75
